Username,Password,Role,LinkedClients,PhoneNumber
admin,admin123,admin,,9111111111
agent1,agent1000,agent,"client1,client2,client3,client4,client5,client6,client7,client8,client9,client10,client11,client12,client13,client14,client15,client16,client17,client18,client19,client20,client21,client22,client23,client24,client25,client26,client27,client28,client29,client30,client31,client32,client33,client34,client35,client36,client37,client38,client39,client40,client41,client42,client43,client44,client45,client46,client47,client48,client49,client50,client51,client52,client53,client54,client55,client56,client57,client58,client59,client60,client61,client62,client63,client64,client65,client66,client67,client68,client69,client70,client71,client72,client73,client74,client75,client76,client77,client78,client79,client80,client81,client82,client83,client84,client85,client86,client87,client88,client89,client90,client91,client92,client93,client94,client95,client96,client97,client98,client99,client100,client101,client102,client103,client104,client105,client106,client107,client108,client109,client110,client111,client112,client113,client114,client115,client116,client117,client118,client119",
agent2,agent1001,agent,"client120,client121,client122,client123,client124,client125,client126,client127,client128,client129,client130,client131,client132,client133,client134,client135,client136,client137,client138,client139,client140,client141,client142,client143,client144,client145,client146,client147,client148,client149,client150,client151,client152,client153,client154,client155,client156,client157,client158,client159,client160,client161,client162,client163,client164,client165,client166,client167,client168,client169,client170,client171,client172,client173,client174,client175,client176,client177,client178,client179,client180,client181,client182,client183,client184,client185,client186",
agent3,agent1002,agent,"client187,client188,client189,client190,client191,client192,client193,client194,client195,client196,client197,client198,client199,client200,client201,client202,client203,client204,client205,client206,client207,client208,client209,client210,client211,client212,client213,client214,client215,client216,client217,client218,client219,client220,client221,client222,client223,client224,client225,client226,client227,client228,client229,client230,client231,client232,client233,client234,client235,client236,client237,client238,client239,client240,client241,client242,client243,client244,client245,client246,client247,client248,client249,client250,client251,client252,client253,client254,client255,client256,client257,client258,client259,client260,client261,client262,client263,client264,client265,client266,client267,client268,client269,client270,client271,client272,client273,client274,client275,client276,client277,client278,client279,client280,client281,client282,client283,client284,client285,client286,client287,client288,client289,client290,client291,client292,client293,client294,client295,client296,client297,client298,client299,client300,client301,client302,client303,client304,client305,client306,client307",
client1,pass1000,client,,
client2,pass1001,client,,
client3,pass1002,client,,
client4,pass1003,client,,
client5,pass1004,client,,
client6,pass1005,client,,
client7,pass1006,client,,
client8,pass1007,client,,
client9,pass1008,client,,
client10,pass1009,client,,
client11,pass1010,client,,
client12,pass1011,client,,
client13,pass1012,client,,
client14,pass1013,client,,
client15,pass1014,client,,
client16,pass1015,client,,
client17,pass1016,client,,
client18,pass1017,client,,
client19,pass1018,client,,
client20,pass1019,client,,
client21,pass1020,client,,
client22,pass1021,client,,
client23,pass1022,client,,
client24,pass1023,client,,
client25,pass1024,client,,
client26,pass1025,client,,
client27,pass1026,client,,
client28,pass1027,client,,
client29,pass1028,client,,
client30,pass1029,client,,
client31,pass1030,client,,
client32,pass1031,client,,
client33,pass1032,client,,
client34,pass1033,client,,
client35,pass1034,client,,
client36,pass1035,client,,
client37,pass1036,client,,
client38,pass1037,client,,
client39,pass1038,client,,
client40,pass1039,client,,
client41,pass1040,client,,
client42,pass1041,client,,
client43,pass1042,client,,
client44,pass1043,client,,
client45,pass1044,client,,
client46,pass1045,client,,
client47,pass1046,client,,
client48,pass1047,client,,
client49,pass1048,client,,
client50,pass1049,client,,
client51,pass1050,client,,
client52,pass1051,client,,
client53,pass1052,client,,
client54,pass1053,client,,
client55,pass1054,client,,
client56,pass1055,client,,
client57,pass1056,client,,
client58,pass1057,client,,
client59,pass1058,client,,
client60,pass1059,client,,
client61,pass1060,client,,
client62,pass1061,client,,
client63,pass1062,client,,
client64,pass1063,client,,
client65,pass1064,client,,
client66,pass1065,client,,
client67,pass1066,client,,
